1788910860.390082 server started (40412): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788910860.390092 on Linux 7.2.2-1-cachyos #1 SMP PREEMPT_DYNAMIC Fri, 28 Aug 2026 17:20:10 +0000
1788910860.390098 using libevent 2.1.13-stable poll
1788910860.390100 using ncurses 6.6 20251230
1788910860.390290 input_key_build: 0x60020000000b (C-S-F4) is \033[1;6S
1788910860.390292 input_key_build: 0x60020000000c (C-S-F5) is \033[15;6~
1788910860.390293 input_key_build: 0x60020000000d (C-S-F6) is \033[17;6~
1788910860.390295 input_key_build: 0x60020000000e (C-S-F7) is \033[18;6~
1788910860.390296 input_key_build: 0x60020000000f (C-S-F8) is \033[19;6~
1788910860.390298 input_key_build: 0x600200000010 (C-S-F9) is \033[20;6~
1788910860.390300 input_key_build: 0x600200000011 (C-S-F10) is \033[21;6~
1788910860.390301 input_key_build: 0x600200000012 (C-S-F11) is \033[23;6~
1788910860.390303 input_key_build: 0x600200000013 (C-S-F12) is \033[24;6~
1788910860.390304 input_key_build: 0x600200000014 (C-S-IC) is \033[2;6~
1788910860.390306 input_key_build: 0x600200000015 (C-S-DC) is \033[3;6~
1788910860.390307 input_key_build: 0x600200000016 (C-S-Home) is \033[1;6H
1788910860.390309 input_key_build: 0x600200000017 (C-S-End) is \033[1;6F
1788910860.390310 input_key_build: 0x600200000018 (C-S-NPage) is \033[6;6~
1788910860.390312 input_key_build: 0x600200000019 (C-S-PPage) is \033[5;6~
1788910860.390314 input_key_build: 0x60020000001b (C-S-Up) is \033[1;6A
1788910860.390315 input_key_build: 0x60020000001c (C-S-Down) is \033[1;6B
1788910860.390317 input_key_build: 0x60020000001d (C-S-Left) is \033[1;6D
1788910860.390318 input_key_build: 0x60020000001e (C-S-Right) is \033[1;6C
1788910860.390320 input_key_build: 0x200020000001f (KP/[K]) is \033Oo
1788910860.390322 input_key_build: 0x2000200000020 (KP*[K]) is \033Oj
1788910860.390323 input_key_build: 0x2000200000021 (KP-[K]) is \033Om
1788910860.390325 input_key_build: 0x2000200000022 (KP7[K]) is \033Ow
1788910860.390326 input_key_build: 0x2000200000023 (KP8[K]) is \033Ox
1788910860.390327 input_key_build: 0x2000200000024 (KP9[K]) is \033Oy
1788910860.390329 input_key_build: 0x2000200000025 (KP+[K]) is \033Ok
1788910860.390330 input_key_build: 0x2000200000026 (KP4[K]) is \033Ot
1788910860.390332 input_key_build: 0x2000200000027 (KP5[K]) is \033Ou
